Column1,Column2.1,Column2.2
FOODLOFT (476),476 TAMPINES ST 44, 520476
FOODLOFT (501),501 WEST COAST DR, 120501
FOODPARK (107),107 CLEMENTI ST 12, 120107
FOODPARK (182A),182A RIVERVALE CRES, 541182
FOODPARK (2),2 LORONG LEW LIAN, 531002
FOODPARK (39),39 SIN MING DR, 575713
FOODPARK (43),43 CAMBRIDGE RD, 210043
FOODPARK (485),485 SEGAR RD, 670485
FOODPARK (519A),519A TAMPINES CENTRAL 8, 521519
FOODPARK (69),69 BEDOK SOUTH AVE 3, 460069
FOODPARK (780),780 WOODLANDS CRES, 730780
FOODPARK (823A),823A TAMPINES ST 81, 521823
FOODPOINT,325 UBI AVE 1, 400325
FOODPRINTS (3015),3015 BEDOK NORTH ST 5, 486350
FOODPRINTS INVESTMENT PTE LTD,71 PIONEER RD, 639591
FOODPRINTS SUMMIT,8 JURONG TOWN HALL RD, 609434
FORTUNE COFFEE,122 ANG MO KIO AVE 3, 560122
FRESH MART WET MARKET,823A TAMPINES ST 81, 521823
FU CHAN (101),101 YISHUN AVE 5, 760101
FU CHAN (139),139 TAMPINES ST 11, 521139
FU CHAN (145),145 TECK WHYE LN, 680145
FU CHAN (447),447A JALAN KAYU, 791447
FU CHAN (491),491 JURONG WEST AVE 1, 640491
FU CHAN (505),505 CANBERRA LINK, 750505
FU CHAN (632),632 ANG MO KIO AVE 4, 560632
FU YUAN CAN SHI,259 BUKIT PANJANG RING RD, 671259
FUCHAN (134),134 JURONG GATEWAY RD, 600134
G LUCKY,539 BEDOK NORTH ST 3, 460539
GET TOGETHER,177 BUKIT BATOK WEST AVE 8, 650177
GET TOGETHER COFFEE SHOP,2 JALAN BUKIT MERAH, 150002
GET TOGETHER COFFEESHOP,622A TAMPINES AVE 12, 521622
GEYLANG SERAI MARKET & FOOD CENTRE,1 GEYLANG SERAI, 402001
GHIM MOH FOOD CENTRE,20 GHIM MOH RD, 270020
GHK @ 509 BEDOK,509 BEDOK NORTH ST 3, 460509
GHK @ KHATIB,848 YISHUN ST 81, 760848
GHK 407 FOODHOUSE,407 ANG MO KIO AVE 10, 560407
GHK 645 COFFEESHOP,645 YISHUN ST 61, 760645
GIM HUAT,24 SIN MING RD, 570024
GM FOOD CENTRE PTE LTD,198 PUNGGOL FIELD, 820198
GOH LIM HUA EATING HOUSE,309 HOUGANG AVE 5, 530309
GOLD 186 FOODCOURT,333C YISHUN ST 31, 763333
GOLDEN MILE FOOD CENTRE,505 BEACH RD, 199583
GOOD EATS,164 BUKIT MERAH CENTRAL, 150164
GOOD EAT'S & FAMILY RESTAURANT,1 TANJONG PAGAR PLAZA, 082001
GOURMENT EXPRESS,514A BISHAN ST 13, 571514
GOURMET STREET (CW),710 CLEMENTI WEST ST 2, 120710
GOURMET STREET (JB27),27 JALAN BERSEH, 200027
GOURMET STREET (KC),131 JALAN BUKIT MERAH, 160131
GOURMET STREET (SMR),22 SIN MING RD, 570022
GOURMET STREET (TP31),31 TAMPINES ST 92, 520031
GRAINS & HOPS (TP),494 TAMPINES ST 45, 523494
GUAN GUAN KOPITIAM,1015 GEYLANG EAST AVE 3, 389730
GUAN HOCK TIONG EATING HOUSE,153 SERANGOON NORTH AVE 1, 550153
HAI FONG COFFEE SHOP,203 TOA PAYOH NORTH, 310203
HAI ZHONG BAO (204),204 SERANGOON CENTRAL, 550204
HAIG ROAD MARKET AND FOOD CENTRE,14 HAIG RD, 430014
HAIG ROAD MARKET AND FOOD CENTRE (WM),13 HAIG RD, 430013
HAINANESE VILLAGE CENTRE,105 HOUGANG AVE 1, 530105
HAO CAI YING XIANG,546 JURONG WEST ST 42, 640546
